text,rating,clean_text,text_length
"I got this new FireStick because my old fire stick was several years old and friends said I should get a new one which would be much faster, downloading etc.  Well, I don't know if it's faster --- probably, I'm usually in no hurry. I have Alexa on my new cell phone and now on my new Firestick. Neither one seems to understand me.  I ordinary am a fast talker and even took special 'diction' classes (in the drama department) in college - several decades ago. Still, the few times I have attempted to slow down and actually use Alexa - it comes up with something totally alien to what I had said --- so, I  have decided to not try to use it anymore.  As much as I dislike having to spell stuff out (on Amazon Prime Video searches) at least I know the search engine will understand what I type in.  Maybe I needed a new Firestick and am glad I got this one on sale (for the price of the next level down). I didn't have any high hopes for Alexa after so-so success with my phone - so I didn't count it into the cost of this item. If you are used to Alexa and other new-fangled voice activated stuff (I'm 66 and not into most high-tech stuff anyways) then hopefully you will be more successful with the voice functions.",3.0,i got this new firestick because my old fire stick was several years old and friends said i should get a new one which would be much faster downloading etc well i dont know if its faster probably im usually in no hurry i have alexa on my new cell phone and now on my new firestick neither one seems to understand me i ordinary am a fast talker and even took special diction classes in the drama department in college several decades ago still the few times i have attempted to slow down and actually use alexa it comes up with something totally alien to what i had said so i have decided to not try to use it anymore as much as i dislike having to spell stuff out on amazon prime video searches at least i know the search engine will understand what i type in maybe i needed a new firestick and am glad i got this one on sale for the price of the next level down i didnt have any high hopes for alexa after soso success with my phone so i didnt count it into the cost of this item if you are used to alexa and other newfangled voice activated stuff im and not into most hightech stuff anyways then hopefully you will be more successful with the voice functions,1160
I do recommend this product! I do wish the light adjusted more and the front cover could be sturdier but overall a good product! A bit pricey for the lack of quality!,3.0,i do recommend this product i do wish the light adjusted more and the front cover could be sturdier but overall a good product a bit pricey for the lack of quality,163
"It worked ok, some of the holes didnt really line up as i thought. but thats probably because i am an idiot. But i made do. it works!",3.0,it worked ok some of the holes didnt really line up as i thought but thats probably because i am an idiot but i made do it works,128
"My SE115 sure headphones were purchased after a recommendation from a friend.  They worked great for one year.  The headphones cut out noise from outside, and introduced nice quality sound from my MP3 player.  And, I used these headphones everyday for the last year.  Wow, the difference was excellent.  It took only a few days to get used to it.  And, I took very good care of them.  Kept them in the bag, which was supplied. OK.  These headphones have outlasted all my other headphones. I used to have the SONY noise cancelling headphones, and some other earbud phones.  SE115 was much better. But now, I need to replace them.  After 1 year of heavy use,  I hope the SHURE company will honor some replacement.  Ok, I did a lot of sweating and moving ... with these phones plugged into my ears.  But ... These headphones now cost $100.<br /><br />So, I am waiting for good news.<br /><br />I have rated this product a 3-star, and will change to 5-star ... if they return the headphones, with the item working again.  Some reviewers said the repair office was terrible, so I am cautiously optomistic.<br /><br />Dear SHURE, please make this happen ...........",3.0,my se sure headphones were purchased after a recommendation from a friend they worked great for one year the headphones cut out noise from outside and introduced nice quality sound from my mp player and i used these headphones everyday for the last year wow the difference was excellent it took only a few days to get used to it and i took very good care of them kept them in the bag which was supplied ok these headphones have outlasted all my other headphones i used to have the sony noise cancelling headphones and some other earbud phones se was much better but now i need to replace them after year of heavy use i hope the shure company will honor some replacement ok i did a lot of sweating and moving with these phones plugged into my ears but these headphones now cost br br so i am waiting for good newsbr br i have rated this product a star and will change to star if they return the headphones with the item working again some reviewers said the repair office was terrible so i am cautiously optomisticbr br dear shure please make this happen,1053
"This is a very big kit that has a lot of extras. If you want all of the included things then it is a pretty good deal.<br /><br />Keyboard - I personally could not stand using the included keyboard, and did not manage to get the trackpad on the keyboard to work (though I did not try for very long). You’re much better off getting a cheap wireless keyboard for $10 - $20.<br /><br />Screen -  It seems pretty cool and was very easy to install. I did have trouble getting the correct resolution to show up. It feels like there is overscan that I can’t disable. It is still useable, but it is a little annoying for it not to be perfect.<br /><br />Pi enclosure - fits the pi and screen perfectly, but doesn’t really stand up that well by itself.",3.0,this is a very big kit that has a lot of extras if you want all of the included things then it is a pretty good dealbr br keyboard i personally could not stand using the included keyboard and did not manage to get the trackpad on the keyboard to work though i did not try for very long youre much better off getting a cheap wireless keyboard for br br screen it seems pretty cool and was very easy to install i did have trouble getting the correct resolution to show up it feels like there is overscan that i cant disable it is still useable but it is a little annoying for it not to be perfectbr br pi enclosure fits the pi and screen perfectly but doesnt really stand up that well by itself,692
"We recently bought a Kindle WiFi and a JKase for it.  We then received a gift of the new Paperwhite model and purchased an amCase for it.  The amCase is adequate, nicely styled but bulkier and harder than the JKase, which I prefer.  However, the amCase is acceptable and does a good job of protecting the device.",3.0,we recently bought a kindle wifi and a jkase for it we then received a gift of the new paperwhite model and purchased an amcase for it the amcase is adequate nicely styled but bulkier and harder than the jkase which i prefer however the amcase is acceptable and does a good job of protecting the device,302
"Could totally be user error or could be my house...but the ""red"" signal light is often on which indicates it is not getting a good signal. Really don't know.",3.0,could totally be user error or could be my housebut the red signal light is often on which indicates it is not getting a good signal really dont know,149
"I got this mainly because I wanted a microphone that potentially would help out when recording bird songs outside with my camcorder or any audio when it was windy. When I opened the box, I wasn't very impressed by the quality of the materials as they seemed cheap. The microphone was about what I expected. The windshields did help some, but they weren't all that I was hoping for. Though, perhaps no windshield can really help in 15 to 30 mile-per-hour wind.",3.0,i got this mainly because i wanted a microphone that potentially would help out when recording bird songs outside with my camcorder or any audio when it was windy when i opened the box i wasnt very impressed by the quality of the materials as they seemed cheap the microphone was about what i expected the windshields did help some but they werent all that i was hoping for though perhaps no windshield can really help in to mileperhour wind,441
"Let's start with the good:<br /><br />The design is great. Very minimal bezels, mostly metal body, and good looking (and sturdy) legs. The top 2/3 of the screen is very thin. Bottom 1/3 is thicker, but houses all the internals.<br /><br />The panel is great for a TV of this price. Not the brightest, but will do for most environments. Displays a wide color gamut and has low input lag in game mode<br /><br />The UI is good, not great. Android TV feels familiar if you use an Android phone and actually allows the TV to be setup using an Android device. Still some bugs with certain apps force closing.<br /><br />The sound is about as good as you can get in a TV. Due to the form factor you're obviously not going to be getting deep bass. Rather shallow sound. But that's TV speakers for you.<br /><br />Now the not so good:<br /><br />Frame bent: This isn't necessarily LeEco's fault, but about halfway across the top the frame was bent. Imagine the iphone bend problem...it looked like that. Luckily, it didn't seem to affect the panel itself. It was there from box opening. I 2 person lifted the TV properly, so it wasn't my handling that caused the damage.<br /><br />Light bleed: For some reason LeEco decided to light the entire screen from the bottom. On dark content you can definitely see a small strip of light bleed on the bottom edge.<br /><br />Clouding: Again, on dark scenes you can see some clouding of the blacks. It's hard not to notice once you spot it. Bright and/or colorful scenes don't suffer.<br /><br />So in summary, this TV is good, but not without flaws. I got it for under $700, which is a good price for what you're getting here. Panel differences could eliminate the clouding or light bleed issue, along with the bent frame. I definitely wanted to like this TV, it looks excellent in my living room. Right now, I've purchased a refurb Samsung KS8000 to test this one against. If the Sammy ends up being better, the LeEco is going back. If not, Amazon is willing to provide a replacement for this TV free of charge due to the issues.",3.0,lets start with the goodbr br the design is great very minimal bezels mostly metal body and good looking and sturdy legs the top of the screen is very thin bottom is thicker but houses all the internalsbr br the panel is great for a tv of this price not the brightest but will do for most environments displays a wide color gamut and has low input lag in game modebr br the ui is good not great android tv feels familiar if you use an android phone and actually allows the tv to be setup using an android device still some bugs with certain apps force closingbr br the sound is about as good as you can get in a tv due to the form factor youre obviously not going to be getting deep bass rather shallow sound but thats tv speakers for youbr br now the not so goodbr br frame bent this isnt necessarily leecos fault but about halfway across the top the frame was bent imagine the iphone bend problemit looked like that luckily it didnt seem to affect the panel itself it was there from box opening i person lifted the tv properly so it wasnt my handling that caused the damagebr br light bleed for some reason leeco decided to light the entire screen from the bottom on dark content you can definitely see a small strip of light bleed on the bottom edgebr br clouding again on dark scenes you can see some clouding of the blacks its hard not to notice once you spot it bright andor colorful scenes dont sufferbr br so in summary this tv is good but not without flaws i got it for under which is a good price for what youre getting here panel differences could eliminate the clouding or light bleed issue along with the bent frame i definitely wanted to like this tv it looks excellent in my living room right now ive purchased a refurb samsung ks to test this one against if the sammy ends up being better the leeco is going back if not amazon is willing to provide a replacement for this tv free of charge due to the issues,1923
"I believe this item was defective when shipped, but I had issues with Wireless-AX connecting at decent speeds out of the box and after fine tuning - couldn't get over ~200mbps and I see others are having this issue too. That was enough for me to return it, but I also had issues with the ethernet ports working, especially if there was a switch (Netgear ProSafe switch to be exact) between the endpoint and the router.<br /><br />I originally went with this router as it was cheaper and seemed to have more features, but after this experience I won't be using or suggesting the cheaper TP-Link options again.",3.0,i believe this item was defective when shipped but i had issues with wirelessax connecting at decent speeds out of the box and after fine tuning couldnt get over mbps and i see others are having this issue too that was enough for me to return it but i also had issues with the ethernet ports working especially if there was a switch netgear prosafe switch to be exact between the endpoint and the routerbr br i originally went with this router as it was cheaper and seemed to have more features but after this experience i wont be using or suggesting the cheaper tplink options again,583
"Fit perfect for my Ipad 9.7.<br />Keyboard is movable, love.<br />If go to long without using keyboard, it automatically shuts off & disconnects from ipad. Little annoying, but can manage. Also is cheap material, the plastic around iPad has already broken & I use it very little.<br />Would probably not buy again for the price.",3.0,fit perfect for my ipad br keyboard is movable lovebr if go to long without using keyboard it automatically shuts off disconnects from ipad little annoying but can manage also is cheap material the plastic around ipad has already broken i use it very littlebr would probably not buy again for the price,302
I’d gotten this brand for my phone which was tempered glass with pretty foolproof install instructions. Was disappointed I didn’t catch these were film without foolproof instructions 2 yr old will be using this device concerned about durability,3.0,id gotten this brand for my phone which was tempered glass with pretty foolproof install instructions was disappointed i didnt catch these were film without foolproof instructions yr old will be using this device concerned about durability,239
Short battery life in tags,3.0,short battery life in tags,26
"My first pair, one of the earbuds the sound got really low, nothing worked to fix it. Returned for replacement.<br />Second pair, after a couple of months the same thing happened, but now they are out of warranty and I cannot replace them. I did not pay $200 for 1.5 years of use, this is BS. never again, will buy Airpods as much as I dislike Apple.. Reading online it looks like this is very common.<br /><br />Edit: Added one star back, just tried using them again after 4 months and they are working again! Also, I deleted the app and reinstalled it, including the earbuds plugin. Make sure to delete the app completely by going through all the apps installed. Wait about two weeks and reinstall the app. This is what I did, might work for you. Also make sure to drain the earbuds completely, plug them in to charge and while they charge connect them through the freshly installed galaxy app.",3.0,my first pair one of the earbuds the sound got really low nothing worked to fix it returned for replacementbr second pair after a couple of months the same thing happened but now they are out of warranty and i cannot replace them i did not pay for years of use this is bs never again will buy airpods as much as i dislike apple reading online it looks like this is very commonbr br edit added one star back just tried using them again after months and they are working again also i deleted the app and reinstalled it including the earbuds plugin make sure to delete the app completely by going through all the apps installed wait about two weeks and reinstall the app this is what i did might work for you also make sure to drain the earbuds completely plug them in to charge and while they charge connect them through the freshly installed galaxy app,851
"This is a cute laptop bag but it's really only large enough to hold your laptop/phone/tablet.  If (like me) you want to pack a snack to take on a presentation, this really isn't the bag for you.",3.0,this is a cute laptop bag but its really only large enough to hold your laptopphonetablet if like me you want to pack a snack to take on a presentation this really isnt the bag for you,184
"I was hoping this router would be everything a router should be, but I have to reboot it almost daily and even then some webpages stall or don't load completely unless you refresh them. When i run speedtest, I get 90 mbps which is what Comcast gives me, but it just doesn't seem to be smooth. My wifi in  the bedroom works most of the time, but my Firestick sometimes buffers during movie streaming, which is odd for 90 mbps that I'm supposedly getting.",3.0,i was hoping this router would be everything a router should be but i have to reboot it almost daily and even then some webpages stall or dont load completely unless you refresh them when i run speedtest i get mbps which is what comcast gives me but it just doesnt seem to be smooth my wifi in the bedroom works most of the time but my firestick sometimes buffers during movie streaming which is odd for mbps that im supposedly getting,435
"So far no problems except it keeps printing test pages for no reason. That ink don't grow on trees, HP.",3.0,so far no problems except it keeps printing test pages for no reason that ink dont grow on trees hp,99
"I am comparing these to Tozo T6.<br />Pros:<br />-Call quality is so much better than T6. Probably because of the location of the mic.<br />-The controls are pretty much the same as T6 & easy to access.<br />-Fit Is decent...right earbud kind of hurt my ear. Could be my ear could be the bud. I can't get T6 to stay in my ears for any significant length of time.<br /><br />Cons:<br />-No beep or sound when you hang up a call so I always have to look and see if the call ended.<br />-Music quality in my opinion is poor. Between T6 and T9, T6 has noticeably superior sound.<br /><br />It's not bad for a pair of inexpensive earbuds. They go on sale often for under $30. I am debating whether to return them or not since the call quality is so good. But the music quality just isn't doing it for me. That's the trade off.",3.0,i am comparing these to tozo tbr prosbr call quality is so much better than t probably because of the location of the micbr the controls are pretty much the same as t easy to accessbr fit is decentright earbud kind of hurt my ear could be my ear could be the bud i cant get t to stay in my ears for any significant length of timebr br consbr no beep or sound when you hang up a call so i always have to look and see if the call endedbr music quality in my opinion is poor between t and t t has noticeably superior soundbr br its not bad for a pair of inexpensive earbuds they go on sale often for under i am debating whether to return them or not since the call quality is so good but the music quality just isnt doing it for me thats the trade off,748
"Very fidgety. After calibration, the darn thing starts to tilt and spazes on its own.",3.0,very fidgety after calibration the darn thing starts to tilt and spazes on its own,82
Its small.  But very nice.,3.0,its small but very nice,23
