text,rating,clean_text,text_length
"This Winegard antenna is worth the extra money for the pre-amplifier. Previously I had tried a different flat antenna, which was actually worst than the homemade wire di-pole I had previously strung along the edge of the ceiling. (The wire had to go because it didn't meet the wife acceptance factor ;).<br /><br />I'm a radio engineer by profession, so my gut feel from the beginning was that the pre-amp would be better, but I thought an unamplified passive antenna would be good enough. I was wrong. This Winegard amplified antenna picks up more signals than I've seen at my house before, and the tv-tuner scan completed much faster, suggesting it was able to decode the channels easier due to much better signal-to-noise ratio.<br /><br />Your television or digital tv tuner box has an amplifier in the back, but even if it included the best amplifier available (which it doesn't), you still can't get back all the signal that was lost in the coaxial cable run from the antenna to the tv. That's why it's important to amplify the signal as close to the source as possible, which is what this antenna does by sticking the amplifier in the plastic box on the base of the antenna itself. (The small plastic dongle toward the TV end of the cable is just a bias circuit to send power to the amplifier at the antenna end of the cable.)<br /><br />I'm comparing this Winegard antenna to the http://www.amazon.com/Mohu-Leaf-Paper-Thin-Indoor-Antenna/dp/B00HSMK580, which I purchased first and was not happy with. Even after moving it around, I still couldn't get even nearby VHF channels, which are most of what we're interested in. Too bad I already threw away the packaging and cannot return it.<br /><br />If you're farther from the station you're trying to watch, even this amplified indoor antenna may not work for you, and you'll have to get a larger attic or roof-mounted antenna. A site like tvfool dot com can tell you the signal levels and bearing of all the stations visible in your area, and tell you if they're strong enough for an indoor antenna.",5.0,this winegard antenna is worth the extra money for the preamplifier previously i had tried a different flat antenna which was actually worst than the homemade wire dipole i had previously strung along the edge of the ceiling the wire had to go because it didnt meet the wife acceptance factor br br im a radio engineer by profession so my gut feel from the beginning was that the preamp would be better but i thought an unamplified passive antenna would be good enough i was wrong this winegard amplified antenna picks up more signals than ive seen at my house before and the tvtuner scan completed much faster suggesting it was able to decode the channels easier due to much better signaltonoise ratiobr br your television or digital tv tuner box has an amplifier in the back but even if it included the best amplifier available which it doesnt you still cant get back all the signal that was lost in the coaxial cable run from the antenna to the tv thats why its important to amplify the signal as close to the source as possible which is what this antenna does by sticking the amplifier in the plastic box on the base of the antenna itself the small plastic dongle toward the tv end of the cable is just a bias circuit to send power to the amplifier at the antenna end of the cablebr br im comparing this winegard antenna to the which i purchased first and was not happy with even after moving it around i still couldnt get even nearby vhf channels which are most of what were interested in too bad i already threw away the packaging and cannot return itbr br if youre farther from the station youre trying to watch even this amplified indoor antenna may not work for you and youll have to get a larger attic or roofmounted antenna a site like tvfool dot com can tell you the signal levels and bearing of all the stations visible in your area and tell you if theyre strong enough for an indoor antenna,1904
Sturdy and pretty but it takes a while for them to charge. My phone is older so I’m not 100% sure if it’s the charger or my phone that takes a while to charge ( to be honest).,5.0,sturdy and pretty but it takes a while for them to charge my phone is older so im not sure if its the charger or my phone that takes a while to charge to be honest,163
They fit like a glove!,5.0,they fit like a glove,21
"I really wanted a flat connection to the wall in a certain area in my house to optimize space.  Originally I had one that was not a flat connection, and I had to have furniture stick out from the wall.  Now with a flat one I have been able to reduce that space and it looks much cleaner and the space feels larger.  The switch to turn it off and on is easy to access and I can plug lots of items into it.  I researched a lot of surge protectors looking at both design and safety and so far this has fit my needs.",5.0,i really wanted a flat connection to the wall in a certain area in my house to optimize space originally i had one that was not a flat connection and i had to have furniture stick out from the wall now with a flat one i have been able to reduce that space and it looks much cleaner and the space feels larger the switch to turn it off and on is easy to access and i can plug lots of items into it i researched a lot of surge protectors looking at both design and safety and so far this has fit my needs,502
worked just as expected. easy to put on.,5.0,worked just as expected easy to put on,38
"I've owned a pair of these along with my Philips GoSpark player for years, and they've been the absolute best combination for sound quality of any mobile equipment I've tried ever. Be sure to set the player to &#34;Full Sound&#34; (wide spectrum with enhanced bass), and these buds handle it superbly; rings around any other phone/player I've tried including Sony. Also the over earloop keeps them on perfectly as you walk around. You don't need to press them into your ear to hear well, but it will increase your bass. Doesn't give ear aches some do. Mine, after years of use, still work fine (the player control is going) and I'm only getting a second pair if these because I was looking at phones on Amazon in passing and decided to do a search. I've had iPhones, etc. etc. This has provided a far superior sound experience. Don't pay more.",5.0,ive owned a pair of these along with my philips gospark player for years and theyve been the absolute best combination for sound quality of any mobile equipment ive tried ever be sure to set the player to full sound wide spectrum with enhanced bass and these buds handle it superbly rings around any other phoneplayer ive tried including sony also the over earloop keeps them on perfectly as you walk around you dont need to press them into your ear to hear well but it will increase your bass doesnt give ear aches some do mine after years of use still work fine the player control is going and im only getting a second pair if these because i was looking at phones on amazon in passing and decided to do a search ive had iphones etc etc this has provided a far superior sound experience dont pay more,802
"this sound bar works good, from the other room it sounds like the people on TV are actually in the house!",5.0,this sound bar works good from the other room it sounds like the people on tv are actually in the house,103
"I have had 3 of these now. They last a long time and keeps the keyboard clean of crumbs and dust and in my case cat hair. Great product and it matches my computer case which I love.  Both made by Kuzy, worth it to have a clean keyboard.",5.0,i have had of these now they last a long time and keeps the keyboard clean of crumbs and dust and in my case cat hair great product and it matches my computer case which i love both made by kuzy worth it to have a clean keyboard,228
I have tried numerous laptop stands. This is hands down the most effective and space respectful. This will not disappoint!,5.0,i have tried numerous laptop stands this is hands down the most effective and space respectful this will not disappoint,119
"Having a small online business, I needed a better way to take photos of my products. This light box is a great help. It could be a bit longer but really meets my needs.  Easy to point and shoot for a front view or overhead.",5.0,having a small online business i needed a better way to take photos of my products this light box is a great help it could be a bit longer but really meets my needs easy to point and shoot for a front view or overhead,217
Been on almost 24-7 since recieved WORKS GREAT!!!!!,5.0,been on almost since recieved works great,41
"We set this up in a studio apartment, which worked well since the TV, laptop, router and the speaker were all relatively close to each other.  First, we connected the sounder to the television audio output using the optical cable.  Then, I used bluetooth to connect the speaker to my iPhone and listen to audiobooks on OverDrive as well as music using Pandora.  I set it up on my mother's phone as well and taught her how to connect her iPhone to the speaker so that she can listen to podcasts, audiobooks and music on her own.<br /><br />We appreciate that the speaker is a big step up from the audio on our tv and the smaller speakers that we'd previously used. The different sounds are clear and when used for audiobooks, the voices are clear without having to raise the volume too high.  The speaker works very well for our purposes and didn't require a professional (or my audiophile brother) to set it up.",5.0,we set this up in a studio apartment which worked well since the tv laptop router and the speaker were all relatively close to each other first we connected the sounder to the television audio output using the optical cable then i used bluetooth to connect the speaker to my iphone and listen to audiobooks on overdrive as well as music using pandora i set it up on my mothers phone as well and taught her how to connect her iphone to the speaker so that she can listen to podcasts audiobooks and music on her ownbr br we appreciate that the speaker is a big step up from the audio on our tv and the smaller speakers that wed previously used the different sounds are clear and when used for audiobooks the voices are clear without having to raise the volume too high the speaker works very well for our purposes and didnt require a professional or my audiophile brother to set it up,882
"almost identical to Wali brand piece. Flat, strong, and nice for its price.<br />mat surface painting is not so strong, same like Wali, easy to be scratched.",5.0,almost identical to wali brand piece flat strong and nice for its pricebr mat surface painting is not so strong same like wali easy to be scratched,147
Came with everything you need to put on the game. They’re pretty durable as well,5.0,came with everything you need to put on the game theyre pretty durable as well,78
Easy Sync and loud and clear Sound..,5.0,easy sync and loud and clear sound,34
"Currently Jan 2021.  Bought these in Dec 2019.<br />A couple of months ago the left earbud stopped working.  Not surprising because I USE THESE THINGS LIKE CRAZY.<br />Rain, wind, workouts, and more.  Almost every day.<br />Why do I use them every day?  Because they sound great, they're comfortable, block sound well ( passively), and battery lasts forever!<br /><br />I chalked it up to simply coming up on a 1 year warranty and didn't worry about it.  I even bought some other brands of the comparable price range, but I sent them back because they just didn't compare.  I thought it might be worth a shot in the dark and I reached out to ANKER customer service.<br />They gave me a few steps to follow to attempt to remedy the issue, and when it didn't work, I was informed they actually have a 18 MONTH WARRANTY!<br /><br />Once I showed proof of my purchase (sidenote: Take a pic of the charge cable with SN when you receive them), A new (not refurb)... NEW PAIR was shipped to me in short order.<br /><br />I'm back to my favorite earbuds again!  Nothing else compares for the price, and  most importantly...<br />NOBODY takes care of their customers better.  I've had similar experiences with chargers, cables, etc...  If anything gives any trouble they take care of it.  You can buy with confidence.",5.0,currently jan bought these in dec br a couple of months ago the left earbud stopped working not surprising because i use these things like crazybr rain wind workouts and more almost every daybr why do i use them every day because they sound great theyre comfortable block sound well passively and battery lasts foreverbr br i chalked it up to simply coming up on a year warranty and didnt worry about it i even bought some other brands of the comparable price range but i sent them back because they just didnt compare i thought it might be worth a shot in the dark and i reached out to anker customer servicebr they gave me a few steps to follow to attempt to remedy the issue and when it didnt work i was informed they actually have a month warrantybr br once i showed proof of my purchase sidenote take a pic of the charge cable with sn when you receive them a new not refurb new pair was shipped to me in short orderbr br im back to my favorite earbuds again nothing else compares for the price and most importantlybr nobody takes care of their customers better ive had similar experiences with chargers cables etc if anything gives any trouble they take care of it you can buy with confidence,1197
Totally pleased. I bought these to use with my laptop and they work fine. Very clear sound now for an old guy with hard hearing.,5.0,totally pleased i bought these to use with my laptop and they work fine very clear sound now for an old guy with hard hearing,125
"I purchased this item based on Amazon's reviews.  I have not had any problems with this battery.  It easily charged up with the Canon charger.  It seems to hold the charge after several weeks.  I don't know whether this will continue to work, but I believe Wasabi is a reputable company.",5.0,i purchased this item based on amazons reviews i have not had any problems with this battery it easily charged up with the canon charger it seems to hold the charge after several weeks i dont know whether this will continue to work but i believe wasabi is a reputable company,275
[[VIDEOID:17290a5d46b0f51f1d3b8e409ec0453b]] These were nice headphones.  They’re very comfortable and simple to wear.  I like that they don’t go in your ear.<br /><br />I think this type of headphone is good for walking my dog at night.  I don’t have the same level of noise cancellation like standard headphone but I prefer that because I can hear the world around me and stay alert.,5.0,videoidadbffdbeecb these were nice headphones theyre very comfortable and simple to wear i like that they dont go in your earbr br i think this type of headphone is good for walking my dog at night i dont have the same level of noise cancellation like standard headphone but i prefer that because i can hear the world around me and stay alert,342
works great for the price thanks,5.0,works great for the price thanks,32
This is a terrific tester. I can finally test &#34;all&#34; my batteries on one unit. Highly accurate for a unit so inexpensive,5.0,this is a terrific tester i can finally test all my batteries on one unit highly accurate for a unit so inexpensive,115
"I forget I have this and just yell louder to get Alexa to hear me, so why did I buy this?",5.0,i forget i have this and just yell louder to get alexa to hear me so why did i buy this,87
Very Nice Precision Set,5.0,very nice precision set,23
This is perfect if you have a good speaker to hook up to. I have a Bose and didn’t need a speaker. Perfect,5.0,this is perfect if you have a good speaker to hook up to i have a bose and didnt need a speaker perfect,103
Fast shipping and great quality for the price,5.0,fast shipping and great quality for the price,45
great,5.0,great,5
Used it on a recent trip to Europe and it work amazingly. This was a good purchase for me.,5.0,used it on a recent trip to europe and it work amazingly this was a good purchase for me,88
works fine,5.0,works fine,10
"I bought two cameras for my daughter at a time when cloud storage was free. Sometime later, her storage was cut off. I would not have bought the cameras to pay monthly for storage. The cameras are durable, reasonably efficient, and inexpensive. I would have bought better cameras if I had know that she would have to pay. Honestly, it seemed predatory. So:  for quality just under 5 stars, for honesty 1.",5.0,i bought two cameras for my daughter at a time when cloud storage was free sometime later her storage was cut off i would not have bought the cameras to pay monthly for storage the cameras are durable reasonably efficient and inexpensive i would have bought better cameras if i had know that she would have to pay honestly it seemed predatory so for quality just under stars for honesty,386
"I use them on my commute to work, the gym, with my playstation vita, and other times. They are great.",5.0,i use them on my commute to work the gym with my playstation vita and other times they are great,96
This product is great.  My 3 year old granddaughter's tablet is still in good shape.,5.0,this product is great my year old granddaughters tablet is still in good shape,78
"Love that these mounts get my Alexas off the counters and tables, and it comes with a shorter cord so it is completely out of the way. I would definitely buy these again!",5.0,love that these mounts get my alexas off the counters and tables and it comes with a shorter cord so it is completely out of the way i would definitely buy these again,167
